,Ticker,Corr
766,آرام,0.8943276044190783
50,شصفها,0.892801522321092
442,سپیدار,0.892303588646169
257,خپویش,0.8907477970908767
679,اهرم,0.8903266261730973
276,فغدیر,0.8898086522751533
791,سغدیر,0.888767896051248
370,کهمدا,0.8886525182172362
747,پخش,0.8883548714635585
762,دپارس,0.8878727028453133
643,شلیا,0.8866913471230009
739,غالبر,0.8849706346973776
877,لسرما,0.8849052415076033
382,دفارا,0.883656655836382
798,کزغال,0.8836298381975682
408,ثاخت,0.882693536235724
709,خمهر,0.8826333228488953
908,ددانا,0.8814495525005717
151,سپرمی,0.8797831691342254
111,سیمرغ,0.8779173537832963
558,شستان,0.8764703872479364
8,سآبیک,0.876418637102471
542,حخزر,0.876188818396375
263,رماس,0.8760074348229914
361,حرهشا,0.8759960023178948
520,کروی,0.8752921463666988
209,خگستر,0.8750054565311126
715,دکیمی,0.8745394737919536
521,شپاس,0.8745122240942259
7,شدوص,0.8737219451615992
115,زفکا,0.8720953481790072
515,پارس,0.8712223163298637
862,صبا,0.8710043562052957
11,دقاضی,0.8698489447841459
486,برلیان,0.869627796258298
731,نشان,0.8690154922371416
772,قیستو,0.8681640034007686
722,وثوق,0.8680569357537131
386,داسوه,0.8671592366935712
248,تمشک,0.8658685972240001
904,سخزر,0.8652670100938021
829,ثتران,0.8642909900941679
842,مروارید,0.8629527471190914
682,خمحرکه,0.8628789689720269
351,وساپا,0.8624461071208026
814,ماهور,0.8624196984358192
701,دریا,0.861995171592757
14,وپویا,0.8618225267829186
850,قشرین,0.86180876672132
128,شاوان,0.8603183090960228
449,حسینا,0.859624491407343
598,کگهر,0.8586069008944033
3,گنگین,0.8580460632006569
735,توان,0.8578418362953871
289,آوند,0.8570614109656287
164,سبزوا,0.8566532878557809
434,فاما,0.8566183602176798
417,سرچشمه,0.8563200458791932
293,پادا,0.8553777156585992
239,زمگسا,0.8553114792110476
409,بنیرو,0.8550740755752901
831,سامان,0.8550579350629296
825,ویسرو,0.8537844996891232
242,مبین,0.8507672771791109
301,ساحل,0.8501656199425558
857,قمرو,0.8484955837544631
220,وشهر,0.8468117791217133
655,آسیا,0.84594444903042
840,ثفارس,0.8448124941228273
202,کشرق,0.8446348342836361
583,لبخند,0.8434404352481959
577,سیلام,0.8422058125874045
504,صایند,0.8414309422087881
46,وحکمت,0.8410899413504249
84,کاوه,0.8404671761546982
471,کرماشا,0.8397841688049599
