,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
324,87730,87730,80000,86980,86720,21689200,1880812397970,5422,خکمک,کمک فنرایندامین,بورس,6899,6899,6291,6840,6820
325,32190,34880,32190,34500,33921,58738864,1992468608221,90853,بپیوند,برق و انرژی پیوندگستر پارس,فرابورس,28950,31370,28950,31028,30507
326,76730,76730,75000,76730,76710,992926,76167640720,1114,کفرا,فراورده های نسوزایران,بورس,28715,28715,28067,28715,28707
327,11300,11570,11300,11570,11560,121069469,1399125960330,21725,چکارن,کارتن ایران,بورس,11150,11416,11150,11416,11406
328,46000,46700,42550,44000,46120,7391158,340844918360,2556,فاما,صنعتی آما,بورس,10234,10390,9466,9789,10261
329,31400,31980,30348,31200,31185,18339282,571914541617,4702,ودی,بیمه  دی,فرابورس,9226,9396,8917,9167,9163
330,9400,9420,9240,9420,9410,68460740,644348568830,10575,ونیرو,سرمایه گذاری نیرو,بورس,8901,8919,8749,8919,8910
331,18000,18290,17470,18070,17920,63189906,1132448576850,39619,اپال,فرآوری معدنی اپال کانی پارس,بورس,15664,15917,15203,15725,15595
332,59400,59400,58810,59390,59370,97433497,5784742821860,62483,شبندر,پالایش نفت بندرعباس,بورس,7470,7470,7396,7469,7467
333,9378,9378,9201,9378,9375,11021604,103322959566,914,ممسنی,پتروشیمی ممسنی,پایه زرد,9378,9378,9201,9378,9375
334,73527,73527,71500,73527,73510,28734862,2112312903178,171481,سپیدار,سپیدار سیستم آسیا,فرابورس,17854,17854,17362,17854,17850
335,10710,10870,10650,10870,10720,37774693,404804842360,1423,امین یکم,صندوق درآمد ثابت امین یکم فردا,نامعلوم,10710,10870,10650,10870,10720
336,552400,552400,550510,552400,552380,218830,120877675880,1871,فپنتا,سپنتا,بورس,21781,21781,21707,21781,21780
337,290880,290880,279474,290880,288358,16663759,4805127000900,21128,گشان,توسعه بین المللی پدیده شاندیز,پایه نارنجی,100574,100574,96630,100574,99702
338,15327,15327,15327,15327,15327,15764629,241624468683,1911,غسالم,سالمین,بورس,13882,13882,13882,13882,13882
339,57776,57776,57776,57776,56947,684247,39533054672,664,دکپسول,تولید ژلاتین کپسول ایران,فرابورس,28328,28328,28328,28328,27922
340,22407,22407,22407,22407,22407,2991291,67025857437,1000,وآوا,سرمایه گذاری آوا نوین,فرابورس,8396,8396,8396,8396,8396
341,97000,101891,95000,101891,99508,9343239,929728812976,8544,حسینا,توسعه خدمات دریایی وبندری سینا,فرابورس,14195,14911,13903,14911,14562
342,24920,24920,24290,24920,24920,56059394,1396837537680,9058,تاپیکو,س. نفت و گاز و پتروشیمی تأمین,بورس,12777,12777,12454,12777,12777
