,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
587,12070,12450,11560,12140,12260,9955140,122088835390,1777,چافست,افست,بورس,12070,12450,11560,12140,12260
588,38900,40000,37900,39400,39100,5968042,233224722600,2128,غدانه,پنبه و دانه های روغنی خراسان,فرابورس,10481,10777,10212,10616,10535
589,59050,60200,58000,59300,59200,1661586,98137140800,996,کگهر,سنگ آهن گهرزمین,فرابورس,59050,60200,58000,59300,59200
590,88090,92000,88090,90730,90820,13799,1253188410,17,نگین,ص.س. زمین و ساختمان نگین شهرری,نامعلوم,88090,92000,88090,90730,90820
591,45000,46360,45000,46000,45890,1718618,78870967090,1022,فسبزوار,پارس فولاد سبزوار,بورس,45000,46360,45000,46000,45890
592,11110,11160,10600,11160,11090,28245703,313361054610,2971,غویتا,ویتانا,فرابورس,5562,5587,5307,5587,5552
593,28700,29150,28500,28800,29000,7873872,228526913100,1286,ارفع,شرکت آهن و فولاد ارفع,فرابورس,28700,29150,28500,28800,29000
594,12521,12523,12521,12521,12522,1348900,16890905652,27,بازده,صندوق س. بازده ثابت-د,پایه زرد,12521,12523,12521,12521,12522
595,37200,38300,36100,38000,37850,22672023,857879375550,2540,خکاوه,سایپا دیزل,پایه زرد,37200,38300,36100,38000,37850
596,2003,2153,2003,2153,2112,100464555,212156099248,2624,ملت,بیمه ملت,بورس,1990,2139,1990,2139,2099
597,4199,4230,4060,4150,4198,42642035,179009556688,2183,قشکر,شکرشاهرود,بورس,4199,4230,4060,4150,4198
598,10240,10371,10240,10317,10317,3097460,31955266843,55,پیروز,صندوق س.سهامی امین نهایت نگر-س,نامعلوم,10240,10371,10240,10317,10317
599,16040,16710,16010,16710,16480,13856367,228355124000,2890,حآسا,آسیا سیر ارس,فرابورس,15978,16646,15948,16646,16416
600,5960,6270,5930,6270,6160,774076873,4771665483450,26478,شتران,پالایش نفت تهران,بورس,5101,5367,5076,5367,5273
601,30000,30050,29500,30000,29800,695018,20714235650,146,کقزوی,شیشه قزوین,پایه زرد,30000,30050,29500,30000,29800
602,30000,30000,29550,30000,30000,4060762,121788147700,328,کقزوی,شیشه قزوین,پایه زرد,30000,30000,29550,30000,30000
603,30000,30050,29500,30000,29800,695018,20714235650,146,کقزوی,شیشه قزوین,پایه زرد,30000,30050,29500,30000,29800
604,30000,30000,29550,30000,30000,4060762,121788147700,328,کقزوی,شیشه قزوین,پایه زرد,30000,30000,29550,30000,30000
605,50050,53550,50050,53550,53350,2386925,127284647050,1321,ساینا,صنایع بهداشتی ساینا,فرابورس,50050,53550,50050,53550,53350
606,3647,3647,3500,3595,3589,15670247,56242256648,722,وفتخار,سرمایه گذاری افتخار سهام,پایه زرد,3647,3647,3500,3595,3589
607,10214,10245,10214,10235,10237,24770,253567646,28,آذرین,صندوق س.بخشی فلزات کیمیا-ب,نامعلوم,10214,10245,10214,10235,10237
608,7680,7680,7300,7680,7670,20708277,158880101780,943,واعتبار,سرمایه گذاری اعتبار ایران,بورس,7198,7198,6842,7198,7189
609,4150,4252,4060,4252,4247,34676817,147268626586,1306,دلقما,دارویی لقمان,بورس,4018,4117,3931,4117,4112
610,31821,31822,31821,31822,31821,9274514,295126817677,77,اوصتا,صندوق اندیشه ورزان صباتامین -د,پایه زرد,31821,31822,31821,31822,31821
611,22100,22800,21200,22600,22200,9699428,215101378450,1444,شراز,پالایش نفت شیراز,فرابورس,18344,18925,17597,18759,18427
612,6220,6320,6120,6300,6280,43491934,273071052870,2120,شکربن,کربن ایران,بورس,5547,5636,5458,5618,5601
613,12301,12302,12299,12302,12301,15715889,193323996429,159,رابین,صندوق س. توسعه افق رابین-د,پایه زرد,12301,12302,12299,12302,12301
614,3302,3457,3302,3380,3430,142631450,489272395107,5977,والماس,س. الماس حکمت ایرانیان,فرابورس,3302,3457,3302,3380,3430
615,23850,23850,23400,23850,23850,1986437,47345405950,314,کباده,تولید خاک نسوزاستقلال آباده,پایه زرد,23850,23850,23400,23850,23850
616,11550,11550,11410,11550,11540,17030817,196559492080,2151,دالبر,البرزدارو,بورس,7473,7473,7382,7473,7466
617,3100,3157,3035,3130,3106,61591655,191318434463,2527,نوین,بیمه نوین,فرابورس,3071,3127,3007,3101,3077
618,152000,152000,150000,151860,151000,8167878,1233351394295,7081,آگاس,صندوق س.هستی بخش آگاه-س,نامعلوم,152000,152000,150000,151860,151000
619,47750,47750,47750,47750,47750,2447,116844250,3,تفیرو,مهندسی فیروزا,پایه زرد,47750,47750,47750,47750,47750
620,379150,382250,360050,382250,379750,333226,126543777100,419,رفاه,فروشگاه های زنجیره ای رفاه,پایه نارنجی,379150,382250,360050,382250,379750
621,5300,5770,5110,5760,5610,45546679,255636901970,2396,پردیس,سرمایه گذاری پردیس,بورس,5300,5770,5110,5760,5610
622,7330,7490,7160,7490,7450,28078456,209300767460,2610,بنو,بیمه تجارت نو,فرابورس,7330,7490,7160,7490,7450
623,1997,2045,1997,2045,2037,125599888,255870779091,3271,وهور,مدیریت انرژی امید  تابان هور,فرابورس,1997,2045,1997,2045,2037
624,40650,40650,40650,40650,40650,13888975,564586833750,924,خوساز,محورسازان ایران خودرو,بورس,40580,40580,40580,40580,40580
625,4388,4388,4388,4388,4388,20908621,91747028948,173,اتکاسا,بیمه اتکایی سامان,پایه زرد,4388,4388,4388,4388,4388
626,12143,12144,12143,12144,12144,11680831,141849066985,416,سیناد,صندوق س.سپهرسودمند سینا-د,پایه زرد,12143,12144,12143,12144,12144
627,18700,18800,18200,18710,18520,12143833,224940074540,2955,غکورش,صنعت غذایی کورش,بورس,10256,10311,9982,10261,10157
628,24450,24800,24300,24800,24700,12814659,316415764200,474,واحیا,م .صنایع و معادن احیاء سپاهان,پایه زرد,11232,11393,11163,11393,11347
629,8300,8730,8300,8680,8600,2919109,25116438810,404,فجام,جام دارو,بورس,7921,8331,7921,8283,8207
630,3293,3293,3161,3293,3277,249703206,818347820345,7025,وساخت,سرمایه گذاری ساختمان ایران,بورس,3293,3293,3161,3293,3277
631,30010,31500,30010,31300,31020,752192,23543652010,273,دارو,کارخانجات داروپخش,بورس,30010,31500,30010,31300,31020
632,73850,73850,73850,73850,73850,985598,72786412300,106,شلیا,شرکت مواد ویژه لیا,پایه زرد,11950,11950,11950,11950,11950
633,116800,119600,115700,115950,117150,2641887,309471561050,4884,آریا,پلیمر آریا ساسول,فرابورس,109009,111623,107983,108216,109336
634,32900,32900,32900,32900,32150,141945,4669990500,46,وشمال,س. چشم انداز توسعه شمال,پایه زرد,32900,32900,32900,32900,32150
635,20207,20207,20206,20206,20206,27156775,548741018657,719,سپر,صندوق س سپر سرمایه بیدار- ثابت,نامعلوم,20207,20207,20206,20206,20206
636,10600,10600,10600,10600,10600,29110684,308573250400,1000,ورنا,سرمایه گذاری رنا(هلدینگ,بورس,10600,10600,10600,10600,10600
637,13300,13490,12990,13370,13360,43180093,576901656030,5460,قچار,فراوردههای غذایی وقند چهارمحال,فرابورس,13109,13296,12803,13178,13168
638,2920,2941,2780,2889,2866,87246211,250071700845,1979,کیسون,شرکت کیسون,پایه زرد,2886,2906,2747,2855,2832
639,4386,4465,4256,4389,4383,36921956,161811168112,2641,قنیشا,قند  نیشابور,بورس,4386,4465,4256,4389,4383
