J-Date,Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
1402-07-24,2023-10-16,21200,22100,21000,21200,21500,237121,5101731300,86,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,21200,22100,21000,21200,21500
1402-07-25,2023-10-17,21500,21500,20900,20900,21300,323917,6799266850,76,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,21500,21500,20900,20900,21300
1402-07-26,2023-10-18,20800,20800,20700,20700,21150,190720,3948204000,31,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,20800,20800,20700,20700,21150
1402-07-29,2023-10-21,20700,20700,20550,20550,20950,318452,6550305600,72,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,20700,20700,20550,20550,20950
1402-07-30,2023-10-22,20350,20500,20350,20500,20600,613476,12509563750,95,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,20350,20500,20350,20500,20600
1402-08-01,2023-10-23,21150,21150,20000,20000,20350,596413,12064230500,109,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,21150,21150,20000,20000,20350
1402-08-02,2023-10-24,19750,19850,19750,19750,20250,192739,3810375150,32,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,19750,19850,19750,19750,20250
1402-08-03,2023-10-25,19800,19950,19650,19650,20050,302034,5938944100,92,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,19800,19950,19650,19650,20050
1402-08-06,2023-10-28,19450,19450,19450,19450,20000,92575,1800583750,5,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,19450,19450,19450,19450,20000
1402-08-07,2023-10-29,19400,19600,19400,19400,19900,177316,3440977700,35,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,19400,19600,19400,19400,19900
1402-08-08,2023-10-30,19350,19450,19350,19350,19700,377865,7312847250,85,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,19350,19450,19350,19350,19700
1402-08-09,2023-10-31,19350,19700,19150,19150,19450,542954,10448750800,93,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,19350,19700,19150,19150,19450
1402-08-10,2023-11-01,18900,18900,18900,18900,19400,100421,1897956900,9,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,18900,18900,18900,18900,19400
1402-08-16,2023-11-07,19980,19980,19400,19980,19610,582935,11521669120,84,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,19980,19980,19400,19980,19610
1402-08-17,2023-11-08,20190,20190,19820,20180,19720,310282,6201174110,91,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,20190,20190,19820,20180,19720
1402-08-20,2023-11-11,19500,20000,19130,19130,19420,597425,11477827150,85,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,19500,20000,19130,19130,19420
1402-08-21,2023-11-12,18860,19550,18840,19500,19080,785537,14911370300,161,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,18860,19550,18840,19500,19080
1402-08-22,2023-11-13,19650,19650,19230,19650,19430,634501,12463267770,116,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,19650,19650,19230,19650,19430
1402-08-23,2023-11-14,20010,20010,19750,19750,19520,180944,3609107520,60,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,20010,20010,19750,19750,19520
1402-08-24,2023-11-15,19510,19910,19100,19610,19480,226371,4380766540,56,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,19510,19910,19100,19610,19480
1402-08-27,2023-11-18,19190,19880,19100,19330,19450,392758,7619514570,67,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,19190,19880,19100,19330,19450
1402-08-28,2023-11-19,19260,19790,19250,19430,19460,398861,7772926010,49,کصدف,کاشی صدف سرام استقلال آباده,پایه زرد,19260,19790,19250,19430,19460
1402-02-12,2023-05-02,6540,6540,6540,6540,6540,33900,221706000,5,کورز,ورزیران,پایه زرد,6488,6488,6488,6488,6488
1402-02-18,2023-05-08,6730,6730,6730,6730,6730,342258,2303396340,26,کورز,ورزیران,پایه زرد,6676,6676,6676,6676,6676
1402-02-19,2023-05-09,6930,6930,6930,6930,6930,212513,1472715090,15,کورز,ورزیران,پایه زرد,6875,6875,6875,6875,6875
1402-02-23,2023-05-13,7130,7130,7130,7130,7130,398079,2838303270,16,کورز,ورزیران,پایه زرد,7073,7073,7073,7073,7073
1402-03-01,2023-05-22,7340,7340,7340,7340,7340,661468,4855175120,24,کورز,ورزیران,پایه زرد,7282,7282,7282,7282,7282
1402-03-02,2023-05-23,7560,7560,7560,7560,7560,520105,3931993800,15,کورز,ورزیران,پایه زرد,7500,7500,7500,7500,7500
1402-03-03,2023-05-24,7780,7780,7780,7780,7780,407401,3169579780,13,کورز,ورزیران,پایه زرد,7718,7718,7718,7718,7718
1402-03-06,2023-05-27,8010,8010,8010,8010,8010,458856,3675436560,13,کورز,ورزیران,پایه زرد,7946,7946,7946,7946,7946
1402-03-07,2023-05-28,8250,8250,8250,8250,8250,450650,3717862500,12,کورز,ورزیران,پایه زرد,8184,8184,8184,8184,8184
1402-03-08,2023-05-29,8490,8490,8490,8490,8490,461900,3921531000,17,کورز,ورزیران,پایه زرد,8423,8423,8423,8423,8423
1402-03-09,2023-05-30,8740,8740,8740,8740,8740,556700,4865558000,15,کورز,ورزیران,پایه زرد,8671,8671,8671,8671,8671
1402-03-10,2023-05-31,9000,9000,9000,9000,9000,503645,4532805000,18,کورز,ورزیران,پایه زرد,8929,8929,8929,8929,8929
1402-03-13,2023-06-03,9270,9270,9270,9270,9270,507600,4705452000,14,کورز,ورزیران,پایه زرد,9196,9196,9196,9196,9196
1402-03-16,2023-06-06,9540,9540,9540,9540,9540,529518,5051601720,15,کورز,ورزیران,پایه زرد,9464,9464,9464,9464,9464
1402-03-17,2023-06-07,9820,9820,9820,9820,9820,506300,4971866000,13,کورز,ورزیران,پایه زرد,9742,9742,9742,9742,9742
1402-03-20,2023-06-10,10110,10110,10110,10110,10110,965529,9761498190,35,کورز,ورزیران,پایه زرد,10030,10030,10030,10030,10030
1402-03-21,2023-06-11,10410,10410,10410,10410,10410,703830,7326870300,21,کورز,ورزیران,پایه زرد,10327,10327,10327,10327,10327
1402-03-22,2023-06-12,10720,10720,10410,10720,10710,12454104,133401448980,610,کورز,ورزیران,پایه زرد,10635,10635,10327,10635,10625
1402-03-23,2023-06-13,11030,11030,11030,11030,10890,1156958,12761246740,65,کورز,ورزیران,پایه زرد,10943,10943,10943,10943,10804
1402-03-24,2023-06-14,11210,11210,11210,11210,11030,871068,9764672280,31,کورز,ورزیران,پایه زرد,11121,11121,11121,11121,10943
1402-03-27,2023-06-17,11360,11360,11360,11360,11160,695257,7898119520,28,کورز,ورزیران,پایه زرد,11270,11270,11270,11270,11072
1402-03-28,2023-06-18,11490,11490,11490,11490,11440,1563705,17966970450,51,کورز,ورزیران,پایه زرد,11399,11399,11399,11399,11349
1402-03-29,2023-06-19,11780,11780,11780,11780,11580,729646,8595229880,26,کورز,ورزیران,پایه زرد,11687,11687,11687,11687,11488
1402-03-30,2023-06-20,11920,11920,11920,11920,11730,778200,9276144000,23,کورز,ورزیران,پایه زرد,11826,11826,11826,11826,11637
1402-03-31,2023-06-21,12080,12080,12080,12080,11880,775996,9374031680,33,کورز,ورزیران,پایه زرد,11984,11984,11984,11984,11786
1402-04-03,2023-06-24,12230,12230,12230,12230,12010,610002,7460324460,21,کورز,ورزیران,پایه زرد,12133,12133,12133,12133,11915
1402-04-04,2023-06-25,12370,12370,12370,12370,12190,850485,10520499450,28,کورز,ورزیران,پایه زرد,12272,12272,12272,12272,12093
1402-04-05,2023-06-26,12550,12550,12550,12550,12360,783997,9839162350,24,کورز,ورزیران,پایه زرد,12451,12451,12451,12451,12262
1402-04-06,2023-06-27,12730,12730,12730,12730,12500,625766,7966001180,21,کورز,ورزیران,پایه زرد,12629,12629,12629,12629,12401
1402-04-07,2023-06-28,12870,12870,12870,12870,12660,706858,9097262460,21,کورز,ورزیران,پایه زرد,12768,12768,12768,12768,12560
1402-04-10,2023-07-01,13030,13030,13030,13030,12870,908158,11833298740,33,کورز,ورزیران,پایه زرد,12927,12927,12927,12927,12768
1402-04-11,2023-07-02,13250,13250,13250,13250,13070,830040,10998030000,29,کورز,ورزیران,پایه زرد,13145,13145,13145,13145,12967
1402-04-12,2023-07-03,13460,13460,13460,13460,13260,757787,10199813020,26,کورز,ورزیران,پایه زرد,13353,13353,13353,13353,13155
1402-04-13,2023-07-04,13650,13650,13650,13650,13460,825884,11273316600,29,کورز,ورزیران,پایه زرد,13542,13542,13542,13542,13353
1402-04-14,2023-07-05,13860,13860,13860,13860,13690,918455,12729786300,29,کورز,ورزیران,پایه زرد,13750,13750,13750,13750,13582
1402-04-17,2023-07-08,14100,14100,14100,14100,13850,584634,8243339400,26,کورز,ورزیران,پایه زرد,13988,13988,13988,13988,13740
1402-04-18,2023-07-09,14260,14260,14260,14260,13880,115000,1639900000,6,کورز,ورزیران,پایه زرد,14147,14147,14147,14147,13770
1402-04-19,2023-07-10,14290,14290,13470,13470,13740,22762165,312800721620,1477,کورز,ورزیران,پایه زرد,14177,14177,13363,13363,13631
1402-04-20,2023-07-11,13330,13330,13330,13330,13330,1883345,25104988850,180,کورز,ورزیران,پایه زرد,13224,13224,13224,13224,13224
1402-04-21,2023-07-12,12940,12940,12940,12940,12940,1703241,22039938540,182,کورز,ورزیران,پایه زرد,12838,12838,12838,12838,12838
